"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"...11",5610.50501656,184220.1484668,167.3782128,6083.038236,7342.15259660702,204.412906696289,15.2105246132895,527.389485077778,3518.38672527159,59073.77425824,6203.67135431111,3993.39557435802,2309.55408,5042.45885296295,28032.8369636095,0,7560.179505,16465.6021376,408.8170032
"...12",1425.00555912,46657.726185072,42.3460203887698,1547.95021864185,1596.2450000576,52.083803404647,2.87264403015436,449.409565675555,896.492187906356,14948.9104490611,1569.86968744539,1011.41356582206,584.426950090666,1277.11146918024,7097.94996462495,0,1907.563170208,4159.8794413568,103.44344967
"...13",0.455826209384,30.23158637496,67.7863181315708,249.371192157237,475.70676543664,0.0166604000414587,582.049406071575,206186.221427061,0.286767046725121,621.394190818758,65.2561206681313,0.655339191941563,13.0908949776666,0.827496512320987,65.5553014011233,0,145.8615441858,354.68980416128,0.033089159019
"...14",1204.98547208,39453.7787352,35.7202374,1308.625929,1349.1715568,44.0420923494695,1.67694864197531,113.573985333333,758.074279322445,12640.00994046,1327.3989781498,855.251429901233,494.17507,1079.92560814815,6001.94855111818,0,1612.848746,3517.1396736,87.47183703
"...15",10.0889973861487,145.39353912,154.975930430315,631.803580661909,1046.65282176,0.0019556988289822,1281.06256147722,465938.448650226,0.032518329875331,1387.349389944,145.693410940576,3.15173948395062,29.5823919999999,3.97970007407407,152.050371446055,0,322.0908867,802.67717376,0.555596856
"...16",450.466435244329,4987.5044544,259.503978466685,3752.41859177149,34.5621192,0.0873205380261694,0.364127308641976,541821.0788772,1.45191990624861,1349.38555038,141.706613297119,108.11563437037,52.75571,136.517564444444,569.911728641902,0,107.2122315,1114.2005952,24.80699772
"...17",0,41.863194,185.353773511067,680.658487825658,1299.6281352,0,1591.86173577841,563904.442198332,0,1686.39155874,177.097521471605,0.907481049382715,35.2913979999999,1.14587592592593,173.079570884384,0,397.252266,966.4124736,0
"...18",0,16.414746,72.6780453571149,266.889243816472,509.5900168,0,624.17612139011,221109.459229444,0,661.24168866,69.4407319275719,0.355827386831275,13.8379153333333,0.449303086419753,67.8652754936986,0,155.764394,378.9346624,0
"...19",1.83559156520765,20.7848488176,3.10044507546416,22.7929452151208,14.4655558248,0.000355819724910898,17.5472513587385,8423.29927511212,0.00591638294165354,24.08626009062,2.52943448480987,0.450559420197531,0.603960309999999,0.568921183703703,4.23002756829092,0,4.8154570035,15.1921818048,0.10108525788
"...20",3984.95492987755,44120.890944,2295.64641759104,33194.9681403753,305.746392,0.772462455051081,3.22117432098766,4793104.236972,12.8440987729853,11937.0505338,1253.57723255967,956.421825185186,466.6921,1207.67342222222,5041.60215935904,0,948.430065,9856.537152,219.4497972
"...21",31.5071037937298,1474.429595616,7.23680957898303,88.083407691584,1331.75873814831,0.0180741322731404,9.15645049365373,10994.5206404769,0.224656682694833,534.1108155642,56.0899994650535,31.9616538735803,20.8816489,40.3579664296296,230.504786898991,0,94.477527185,198.168943168,4.0255903428
