"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"1829",36069,1125475.82962738,1309710.45696247,455355.910385527,12667.7833239505,4141.53163919245,3559.25248446904,2270.14228089563,114780.051079165,27562.3666035833,70180.3475785331,106459.763116906,44000.2880792944,0,0,0,0,4188.54231282281,761.553147785968,150508.501202029
"1833",36077,234604.031638384,227026.633411242,1263.28015360089,11570.9618332435,1720.17872129162,1770.22873968864,0,0,1485.92642802845,52796.9081961545,212424.751675608,2945.10077204849,0,0,0,0,873.096416118972,158.744802930723,31373.309180293
"1842",36095,163584.676268108,233291.818644451,0,1017.481049687,1672.66903128014,0,3476.98753564041,0,781.466106103254,57191.9327228958,200406.816378695,1044.56776151474,0,0,0,0,608.792583760096,110.689560683654,21875.9779611468
"1843",36097,131295.115199728,254023.66190631,42312.0336401744,4400.50936966474,1022.55103622336,0,0,0,1206.59516258504,32436.7708461729,71474.115384529,3967.55189277935,0,0,0,0,488.624571940455,88.8408312619014,17557.9345941186
"1845",36101,1185857.47675224,1292499.69713385,190815.407821702,95228.4845470644,29765.8702868394,1380.58086574627,588.895186216575,0,13977.4054481417,125804.969860028,415245.328048527,8798.67778978501,0,0,0,0,4413.25711987835,802.410385432431,158583.264755041
"1848",36107,154360.353507609,280012.46423442,1844.99530124604,6353.24592107255,1158.03957637296,0,760.104840942587,0,1366.46964448279,25660.9838808783,131203.11508835,2199.48218533622,0,0,0,0,574.463578043223,104.447923280586,20642.4206010159
"1849",36109,163251.621074631,396371.63033485,40731.4443695524,4664.25622966158,1310.88382479792,1057.13049148571,0,43503.844471244,17295.4991263918,37284.7063749919,119888.037107762,4277.85506498959,0,0,0,0,607.553093996158,110.464198908393,21831.4388989404
"1856",36123,436164.69661643,340065.128007654,173864.819768414,6167.87779978032,17571.2089033848,0,1012.81618906042,0,9302.29872870939,67903.8738575634,60468.8495104798,10897.62978974,0,0,0,0,1623.21947663886,295.13081393434,58327.7694970232
"2211",42001,866916.779875012,235536.432251625,286651.966375352,1931.33867489028,26088.102894437,36710.4341235451,3299.48366745457,0,5436.03794975476,24609.1576721057,282955.558556647,54092.2571363081,0,0,0,0,3226.29550863368,586.599183387945,115931.716853552
"2215",42009,656638.1386526,770309.457639764,72533.8318454578,27026.2393183639,38852.1420632364,3431.72958056928,9248.99567288372,0,7103.35578051375,104643.299223475,231693.215077778,16617.1271366994,0,0,0,0,2443.72784875373,444.314154318861,87811.4122747652
