"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"...19",0.293037778700147,4.65752231532,2.25568612736668,4.15971250175955,2.35065282153,4.74426299881198e-05,4.38681283968463,3264.02846910595,0.00357800301709524,3.464624604168,1.02067130216197,0.201901626975309,0.130634378162963,0.0621235775308642,0.90338088758979,0,0.7306210626,4.8492901743,0.01540830564
"...20",636.166761171306,9886.7225808,1670.16594439232,6058.08168561849,49.6837887,0.102994994006811,0.805293580246914,1857327.89182665,7.76762163890063,1717.05357432,505.840461178601,428.585251851852,100.943772740741,131.872385185185,1076.7038654163,0,143.899734,3146.171457,33.4504716
"...21",5.02986169907853,330.3939713112,5.26504117195577,16.0752219037141,216.4107949491,0.00240988430308538,2.28911262341343,4260.37674818479,0.135863803344018,76.82776263288,22.6333012916774,14.3224392358025,4.51662331762963,4.40690438024691,49.2274850744387,0,14.334521366,63.254818913,0.6136159484
"...22",27.4550478226732,1198.68313276407,12.3147000299784,61.2360847227028,85.1408116908642,0.707426336904152,0.675410802742297,9793.00710803503,55.2140400023144,247.447831937342,72.8976237531788,51.9624079817849,14.5471637477835,15.9884332251646,172.491535958165,0,33.97932840984,166.76682170434,1.925155596
"...23",300.564875291619,4671.10468656,789.090611820587,2862.21581742471,23.47372209,0.0486612621387526,0.380470938271605,877517.594843655,3.66990916801447,811.243254024,238.990598709794,202.490417037037,47.6921372148148,62.3047437037037,508.702093204319,0,67.9872138,1486.4477199,15.80409012
"...24",487.990286525878,7583.8991904,1281.14954677788,4647.02841770458,38.1114006,0.0790053170077218,0.617723950617285,1424717.5825977,5.95838094749345,1317.11607216,388.019693346502,328.75882962963,77.4318678518518,101.156562962963,825.917133458248,0,110.382492,2413.362666,25.6591608
"...25",0,1.079795055,15.5223316368555,14.2985840598811,24.309351287,0,45.8085190646487,25152.3241976784,0,27.9219749256,8.22575654284773,0.0468086599794238,0.878655931061726,0.0144026646090535,4.2547535536,0,6.93780296,35.50761071,0
"...26",916.173342160796,14238.3453436875,2405.51802900409,8724.74110153886,71.9189787875,0.148327881373924,1.85139771417245,2675204.05681022,11.1865132099157,2473.23030633,728.608575448971,617.226262313529,145.387088935802,189.915773019547,1550.67555823246,0,207.341453,4531.483974875,48.17358
"...27",0,9.7341441,139.930825040813,128.898976727437,219.14411194,0,412.954961701401,226743.350098152,0,251.711217072,74.1536082693003,0.42197103909465,7.92091370271603,0.129837242798354,38.355782432,0,62.5429552,320.0942602,0
"...28",0.7334329483641,16.6070248968,76.8016406757553,75.9573695689608,117.3199344902,0.000118742327848243,220.970565719034,123470.262012455,0.00895524568103233,136.66869124272,40.2623161215407,0.719907521399177,4.35480925372838,0.221510006584362,21.7652667583132,0,33.632248364,174.907654922,0.0385648536
