"","...3"
"...117",14681.0501310766
"...118",40302.7922775351
"...119",40387.5814362628
"...120",8156.23531302594
"...121",34335.7552320696
"...122",35121.0184634687
"...123",31492.4278751879
"...124",55411.3853356827
"...125",12656.397165161
"...126",19630.0329685177
"...127",173861.858956356
"...128",21465.2769839216
"...129",67334.5718855477
"...130",10638.1488808306
"...131",60031.7956087
"...132",155126.415383257
"...133",42793.0265384064
"...134",230086.085238546
"...135",159136.486431358
"...136",83646.9774638216
"...137",45050.3975761074
"...138",22378.7497810938
"...139",53014.540519484
"...140",22014.2769795682
"...141",21724.3701196547
"...142",69944.0963258889
"...143",22539.0279559407
"...144",15474.3329461096
"...145",49587.4279901093
"...146",146773.207051644
"...147",26704.0261774896
"...148",42544.4490203153
"...149",48081.1094682318
"...150",31567.027553639
"...151",19240.7164792889
"...152",43693.2289161889
"...153",40690.4653078356
"...154",20239.0291755881
"...155",113235.689520822
"...156",48894.9634916425
"...157",33996.6630363059
"...158",4642.89316794853
"...159",55923.7023451156
"...160",49471.8322497646
"...161",16394.457264878
"...162",18927.9881042632
"...163",8483.22124846872
"...164",23834.4477405836
"...165",11274.9893064467
"...166",26349.4972689789
"...167",1956.7993344007
"...168",59771.8547240554
"...169",12277.2731679692
"...170",18153.7523333566
"...171",82838.8726501166
"...172",50697.2321919684
"...173",166760.264718931
"...174",211095.428326057
"...175",5335.59987639688
"...176",4261.67688011997
"...177",6466.51363976903
"...178",148228.926986951
"...179",187008.729216507
"...180",978.133678394261
"...181",59052.4846745577
"...182",3085.21047965443
"...183",817.389788224412
"...184",13723.246635474
"...185",239014.690173459
"...186",44199.7481186408
"...187",735.214437502329
"...188",85030.8874312335
"...189",8385.74339840074
"...190",15836.630737923
"...191",59142.0916913454
"...192",30796.7399123212
"...193",120005.950054402
"...194",521728.260330813
"...195",25311.7224857316
"...196",67612.0061581738
"...197",82683.965319389
"...198",23364.2693807499
"...199",2219.95930681745
"...200",61510.4893053238
"...201",262221.829410664
"...202",30308.8329930812
"...203",45495.9199802682
"...204",44653.3855289882
"...205",227240.638469868
"...206",81807.5166682904
"...207",15180.963931654
"...208",96419.0763755226
"...209",178076.409150036
"...210",635223.149741289
"...211",84983.7062764529
"...212",131138.871132375
"...213",137902.262812476
"...214",2514.32633146579
"...215",245542.615436298
"...216",238170.244183126
"...217",277272.753622482
"...218",17487.2074206055
"...219",24939.0001799355
"...220",15196.6698377239
"...221",148535.148603904
"...222",84336.6740819788
"...223",117471.414554447
"...224",12114.8249194336
"...225",97669.953484567
"...226",78574.7004794473
"...227",12932.0861920713
"...228",46685.9080995605
"...229",30398.989014178
"...230",10109.905059541
"...231",239518.583560984
"...232",41877.2917175635
"...233",225.061598013493
"...234",13629.5136369718
"...235",36238.2152931101
"...236",13227.8746661541
"...237",106900.810411351
"...238",318379.135262338
"...239",155666.852801947
"...240",4851.37543212625
"...241",740.43816640545
"...242",76275.5702620133
"...243",21406.493981466
"...244",3046.40866851096
"...245",157639.586748842
"...246",1154.72615326488
"...247",357933.13213249
"...248",20381.7548931584
"...249",605746.010642845
"...250",313888.408674823
"...251",1106230.5275093
"...252",1204.40384267446
"...253",30630.2895286878
"...254",3512.63467211309
"...255",150654.737486237
"...256",3819.08161159558
"...257",11969.0537302901
"...258",98548.8700558257
"...259",7189.63494800227
"...260",70862.6437514862
"...261",50534.5491732439
"...262",781.027090895049
"...263",22440.9020138017
"...264",22490.8019345444
"...265",41319.608480457
"...266",14069.283115084
"...267",39028.6424171824
"...268",13691.670840233
"...269",5888.62985785539
"...270",32651.7923755865
"...271",102419.110188475
"...272",58721.2697507409
"...273",212295.235054891
