"","1","2","3","4","5","6","7","8","9"
"...75",1797.26050437229,31189.8435567592,330.342792551718,1.80986298274908,0,9.14108331191831,4066.24219922227,2.04767139818231,0.0340116119826486
"...76",105.406135787693,613.28648554879,171.828960799526,1.08668644116658,0,13.1595888534842,100.058975554132,6.7356076688129,0.0705276510719111
"...77",9802.58105769171,57209.014022665,1145.78443457048,10.3428402973053,0,80.308108392146,1792.29006695097,3.76326383520214,0.360839185498421
"...78",1298.90126527479,20229.974955912,221.434155314056,1.29393393343177,0,6.93064390420347,2519.43278557794,1.16542672931389,0.0265487282333504
"...79",1905.950655768,33116.348848365,338.369439844967,1.84463537701045,0,8.74382338488115,4313.22691141251,1.66272341032856,0.0309152049620315
"...80",1523.43741896159,26470.0898012786,270.460656750413,1.4744277608518,0,6.98898876999088,3447.58729898503,1.32902447028843,0.0247107027201855
"...81",685.450728155154,11876.4674434528,121.204921411186,0.66752138348749,0,4.07333307165035,1541.90668921658,0.615461490469823,0.0158679318549811
"...82",1250.37812097521,11724.721763629,76.6809048971401,2.44425648880167,0,283.798636310258,48.1824342143564,6.32563456808849,1.44233860131348
"...83",411.265340415586,7145.8337293397,73.0132348615274,0.398034751829995,0,1.88673903494521,930.7065367319,0.358781853714988,0.00667087170082283
"...84",12678.6843694608,73991.5795262068,1480.47766029878,13.3684963639597,0,103.758360589451,2316.91705466131,4.80565627379134,0.466101590011987
"...85",551.853797473304,9588.59182167905,97.9723476902483,0.534100415808836,0,2.53170884816962,1248.86268341922,0.4814291625865,0.00895126702589685
"...86",2544.26431878465,44207.2015287136,451.691280547762,2.46241420610357,0,11.6721793298178,5757.75101853651,2.21957889208955,0.041268882095542
"...87",1576.34595754538,9060.47593643594,1819.52786380762,23.6607217983085,0,1.95680406271804,7342.07499296357,56724.9325839572,3.58227934770787
"...88",9328.6741503686,54435.3062952631,1089.26895947394,9.83626593659829,0,76.3447818546468,1703.6621775377,3.53563367817032,0.342957022942588
"...89",811.403023033168,14098.321740946,144.050941487577,0.785299827553557,0,3.72242833563906,1836.23083019318,0.707856101901536,0.0131612487909738
"...90",5880.8224878313,34316.1705761283,686.678223391247,6.20080978109313,0,48.1279657454475,1073.99344042213,2.22887343990851,0.216201074276
"...91",3266.23731161875,19059.3674540511,381.384413312512,3.44395980514042,0,26.7305054310626,596.501162005687,1.23792711093885,0.120079124488715
"...92",3754.66026607084,21909.4459002134,438.415450607152,3.95895882773356,0,30.7277019575351,685.700087890386,1.4230428754212,0.138035382762469
"...93",12820.0081990123,74808.1733558506,1496.93694583959,13.5175704416552,0,104.917452743239,2341.27194629447,4.85887404921914,0.471311547081864
"...94",1793.31202381662,16616.9586231955,107.088281848159,3.53012573633151,0,412.556483257739,13.8072909931622,9.17639547441689,2.09689589590146
"...95",1579.94768593932,14639.9092714452,94.3471525591683,3.11011910594437,0,363.471416231905,12.1645297438592,8.0846080339177,1.84741181366437
"...96",6969.04945286924,40666.2656920848,813.745782486076,7.34824934806176,0,57.0338883787173,1272.73241350959,2.64131917925607,0.256208375870999
"...97",1250.84917767045,11590.4587451388,74.6949150560144,2.46229034084428,0,287.761377257305,9.63069357439366,6.40060769164115,1.46260130541405
"...98",499.867652510568,4631.8097400385,29.8497792620072,0.983986970171356,0,114.995961703957,3.84864320576713,2.55782775299924,0.584488597144707
"...99",1774.67027825019,16444.2228635354,105.975083209636,3.49342955355896,0,408.267897172032,13.6637621469616,9.08100547681517,2.07509835077182
"...100",910.63732108313,8438.03113134277,54.3790399029718,1.79258500524517,0,209.49468119315,7.01129213123161,4.65974023540974,1.06479610679797
"...101",1155.96747267209,10711.2780196896,69.0290194214812,2.27551617980961,0,265.933573718514,8.90016854950055,5.91509706282213,1.35165738981827
"...102",489.710291144245,4537.69089663398,29.2432287217864,0.963992255199131,0,112.659232105976,3.77043838572189,2.50585243379317,0.572611729606117
"...103",84.8045942095237,172.968862170329,90.0908568120355,0.523042795394167,0,81.2584595815974,5.41121276291652,1.88888897291536,0.413011399211192
