"","V1","V2","V3","V4","V5"
"391",28.2211171081337,33.461198490677,33.5883126384735,18.2250141624579,19.7267101715402
"392",26.7081985466446,31.6673620492547,31.7876616775234,17.2479811802363,18.6691720924739
"393",24.3949630806347,28.9246063040711,29.034486608619,15.7541087382776,17.052208262812
"394",28.3779425919075,33.6471432433544,33.7749637677853,18.3262910414652,19.836332014434
"395",93.1016484544723,127.732047096997,102.723013684113,87.829682455412,94.9488010786341
"396",0,0,0,0,0
"397",91.7169952088638,124.749703418086,100.578008541059,86.3490455319296,93.3824765415402
"398",24.5459971945563,30.8856704128564,16.276026807916,20.6617986276267,21.4276662296178
"399",14.6198886840027,17.9448526671626,13.0813951761462,11.585859236294,5.60659047492315
"400",12.1125578747247,15.2383582637727,10.6175217015403,13.5954001664991,12.9044043761755
"401",16.6732891696647,20.9760445671849,14.6039844341004,18.7144648304518,17.7632889726152
"402",16.6775324728516,20.9813829089994,14.6077011053018,18.7192276068571,17.7678096775547
"403",30.2283855943766,32.2035957356806,25.677892354243,29.7693238995708,29.5576012665765
"404",989.64200644003,826.971453915742,809.4889833718,812.287037734496,864.388234551081
"405",14.1086856879283,16.4990490769752,11.5896450130621,14.9889781560696,13.0779753669985
"406",12.580453536197,15.0220204092668,10.4500641587714,13.7529650653185,12.1193900476197
"407",87.4465328616982,87.9007669815189,66.655798431278,75.0436431418381,60.0345063026077
"408",25.4685258630276,32.0913188550132,16.5509010702033,21.5100000785473,22.9446201694944
"409",0,0,0,0,0
"410",22.7133497411073,23.4429201378828,18.735581040534,22.0351765055858,20.9558595577401
"411",1085.64697191467,906.314193245942,887.863442917316,890.472258307827,947.775757048972
"412",1159.99744753394,968.070003444696,948.65753565336,951.218323637989,1012.60540057078
"413",13.1795284307459,15.5237674680199,10.94005765668,14.245578745004,12.6427957323789
"414",12.5896988839451,15.033060059162,10.4577438880323,13.7630720892211,12.1282965608199
"415",974.700782112651,814.163122439636,797.146208518261,799.827624598007,851.036929765193
"416",12.5938661211389,15.0380360579998,10.4612054401866,13.7676277173136,12.1323110721272
"417",1118.90407897799,933.938293666317,915.056776343322,917.644551262009,976.774331675808
"418",0.268022721030343,0.337189410208237,0.264419682099956,0.30083457051835,0.285544441558099
