Species,State,"Total Corn-
Related","Total Corn-
Related","Total Corn-
Related","Total Corn-
Related","Total Small
Grains","Total Small
Grains",Total Processed Plant Byproducts,"Total Soy-
Related",Total Processed Plant Byproducts,Total Processed Plant Byproducts,Total Processed Plant Byproducts,Total Processed Plant Byproducts,"Total Soy-
Related","Total Soy-
Related","Total Soy-
Related",Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Processed Plant Byproducts,"Total
Forages","Total
Forages","Total
Forages"
Species,"State
(All Numbers are in Short Tons)",Corn,Corn DDGs,Corn Gluten Feed/Meal,Hominy Feed,Wheat,Oats,Cottonseed,Soybean Meal,Canola Meal,Cottonseed Meal,Wheat Middlings and Wheat Bran,Rice Mill Feed,Soy Hulls,Soybean Oil,Soybean Seeds,Meat and Bone Meal,Feather Meal,Meat Meal,Bloodmeal,Miscellaneous Byproduct Feeds,Corn Silage,Alfalfa Hay,Other Hay
Layers,Virginia,71783.08,6016.19,0.00,0.00,0.00,0.00,0.00,16078.48,0.00,4678.89,12299.69,0.00,0.00,2459.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Layers,West Virginia,58272.67,11900.31,0.00,0.00,0.00,0.00,0.00,18595.67,0.00,2546.21,3346.69,0.00,0.00,1115.56,0.00,0.00,0.00,0.00,0.00,2330.69,0.00,0.00,0.00
Sheep and Goats,Delaware,42.61,0.00,0.00,0.00,0.00,0.00,0.00,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sheep and Goats,Maryland,369.32,0.00,0.00,0.00,0.00,0.00,0.00,74.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sheep and Goats,New York,2036.62,0.00,0.00,0.00,0.00,0.00,0.00,414.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sheep and Goats,Pennsylvania,2390.65,0.00,0.00,0.00,0.00,0.00,0.00,490.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sheep and Goats,Virginia,2154.98,0.00,0.00,0.00,0.00,0.00,0.00,452.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sheep and Goats,West Virginia,1019.37,0.00,0.00,0.00,0.00,0.00,0.00,214.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkeys,Delaware,12.87,0.68,0.00,0.00,0.00,0.00,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.03,0.00,0.00,0.37,0.00,0.00,0.00
Turkeys,Maryland,3030.52,164.81,0.00,0.00,0.00,0.00,0.00,972.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506.19,7.48,0.00,0.00,87.47,0.00,0.00,0.00
Turkeys,New York,12324.29,768.00,0.00,0.00,0.00,0.00,0.00,3278.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1867.23,0.00,246.77,0.00,857.21,0.00,0.00,0.00
Turkeys,Pennsylvania,186262.16,11602.65,0.00,0.00,0.00,0.00,0.00,49406.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28551.52,0.00,4534.19,0.00,13235.78,0.00,0.00,0.00
Turkeys,Virginia,367966.25,5988.46,0.00,0.00,0.00,0.00,0.00,245575.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40166.28,19344.93,0.00,0.00,0.00,0.00,0.00,0.00
Turkeys,West Virginia,93087.39,5801.32,0.00,0.00,0.00,0.00,0.00,24749.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14104.73,0.00,2113.28,0.00,6475.22,0.00,0.00,0.00
